feature,coefficient,abs_coefficient,importance_norm,rank
max_update_time,0.018058030876522514,0.018058030876522514,0.0003608246492342459,100
name_length,0.004221199303187692,0.004221199303187692,8.434545097055744e-05,101
recency_days,0.001154098415533697,0.001154098415533697,2.3060496397098735e-05,102
geo_cluster_id,7.675501176076271e-05,7.675501176076271e-05,1.5336722140371568e-06,103
has_many_sources,0.0,0.0,0.0,104
has_multiple_phones,0.0,0.0,0.0,105
has_multiple_socials,0.0,0.0,0.0,106
source_temporal_diversity,0.0,0.0,0.0,107
has_multiple_websites,0.0,0.0,0.0,108
has_multiple_addresses,0.0,0.0,0.0,109
