rank,feature,importance,importance_norm
1,category_closure_risk,0.2809664195819219,0.28096641958192187
2,geo_cluster_id,0.10037056537215971,0.10037056537215969
3,name_length,0.09225954514546982,0.0922595451454698
4,address_completeness,0.07801196193672916,0.07801196193672914
5,recency_days,0.056062244003347514,0.0560622440033475
6,num_categories,0.02947470442911616,0.029474704429116153
7,has_long_name,0.020047425319487673,0.02004742531948767
8,completeness_score,0.01841335289603675,0.018413352896036746
9,recent_with_contacts,0.017259678225069467,0.017259678225069464
10,num_phones,0.014571952589125112,0.014571952589125109
11,fresh,0.014031341370547663,0.01403134137054766
12,stale,0.012695364054194249,0.012695364054194245
13,rich_profile,0.011279922659515537,0.011279922659515535
14,num_websites,0.01058487511033965,0.010584875110339648
15,has_phones,0.010399084439441939,0.010399084439441937
16,ohe_source_dataset__Microsoft,0.010255582386485159,0.010255582386485157
17,contact_diversity,0.010100195767939257,0.010100195767939255
18,very_fresh,0.009129050401320877,0.009129050401320876
19,has_full_contact_info,0.00895095153675806,0.008950951536758059
20,ohe_primary_category__hotel,0.008305748824399545,0.008305748824399543
21,has_alternate_categories,0.007198164699347858,0.0071981646993478565
22,ohe_primary_category__accommodation,0.007034308253400182,0.007034308253400181
23,ohe_primary_category__discount_store,0.006883989604426111,0.006883989604426109
24,has_chain_pattern,0.006846568680013944,0.006846568680013943
25,has_multiple_datasets,0.006739701623171041,0.006739701623171039
26,has_websites,0.006478984392239927,0.006478984392239926
27,single_source,0.00630939516184634,0.006309395161846338
28,num_socials,0.006201469128032124,0.0062014691280321225
29,very_stale,0.006007749631387857,0.006007749631387855
30,ohe_primary_category__professional_services,0.006002033538224631,0.006002033538224629
31,ohe_primary_category__fast_food_restaurant,0.005761529508931794,0.005761529508931793
32,ohe_primary_category__pizza_restaurant,0.00565431030535951,0.0056543103053595094
33,ohe_source_dataset__meta,0.00529974710709176,0.0052997471070917596
34,num_sources,0.005277682976524195,0.0052776829765241945
35,ohe_primary_category__holiday_rental_home,0.005237294744542343,0.005237294744542342
36,ohe_primary_category__coffee_shop,0.005217393515802279,0.005217393515802278
37,ohe_geo_cluster__CL_41.9_-87.6,0.005060937058403718,0.005060937058403717
38,ohe_primary_category__campground,0.004890576043231323,0.004890576043231322
39,ohe_geo_cluster__CL_42.4_-71.1,0.004889626578944901,0.0048896265789449
40,ohe_primary_category__restaurant,0.004844907801460656,0.0048449078014606555
41,has_multiple_sources,0.004721050670104557,0.004721050670104556
42,ohe_primary_category__mobile_phone_store,0.004499952681492452,0.004499952681492451
43,num_datasets,0.003949484312520389,0.0039494843125203885
44,ohe_geo_cluster__CL_34.0_-118.3,0.0038892309807169317,0.003889230980716931
45,ohe_primary_category__resort,0.003503248250508798,0.0035032482505087973
46,ohe_primary_category__american_restaurant,0.003356119547480531,0.00335611954748053
47,ohe_primary_category__event_planning,0.0030914204706517733,0.0030914204706517724
48,ohe_primary_category__mexican_restaurant,0.0028514170117226643,0.002851417011722664
49,ohe_geo_cluster__CL_37.8_-122.4,0.0028173066834123197,0.0028173066834123192
50,ohe_primary_category__shopping,0.0027325846472037096,0.002732584647203709
51,ohe_primary_category__hardware_store,0.002727148719520261,0.0027271487195202606
52,ohe_geo_cluster__CL_38.9_-77.0,0.002696024992513015,0.0026960249925130145
53,ohe_primary_category__day_care_preschool,0.002585445299297104,0.0025854452992971036
54,ohe_primary_category__convenience_store,0.0024905756275007767,0.0024905756275007762
55,ohe_primary_category__lawyer,0.002433205352605706,0.0024332053526057054
56,ohe_primary_category__self_storage_facility,0.002148676442007752,0.0021486764420077516
57,ohe_geo_cluster__CL_40.7_-74.0,0.002051394780383635,0.0020513947803836347
58,ohe_geo_cluster__CL_36.1_-115.2,0.0018984131676329145,0.0018984131676329141
59,ohe_geo_cluster__CL_30.3_-97.7,0.001703924693193481,0.0017039246931934806
60,ohe_primary_category__printing_services,0.0016150514142185114,0.001615051414218511
61,ohe_primary_category__bar,0.001569598589760707,0.0015695985897607066
62,ohe_geo_cluster__CL_40.8_-74.0,0.0013870353966601626,0.0013870353966601624
63,ohe_primary_category__flowers_and_gifts_shop,0.0013175505986176205,0.0013175505986176203
