threshold,accuracy_mean,accuracy_std,open_precision_mean,open_precision_std,open_recall_mean,open_recall_std,open_f1_mean,open_f1_std,closed_precision_mean,closed_precision_std,closed_recall_mean,closed_recall_std,closed_f1_mean,closed_f1_std,pr_auc_closed_mean,pr_auc_closed_std,model_key,mode,gate_type,feature_bundle,selected_trial,params_json,category_top_k,dataset_top_k,cluster_top_k
0.16,0.9080686466423902,0.0007253336425415932,0.9084621284992866,0.0006919759907223549,0.9995238095238095,0.0007896725691322352,0.9518195309915335,0.0003983518133222823,0.0,0.0,0.0,0.0,0.0,0.0,0.2594107919596014,0.04857732371188753,rf,single,diagnostic,v2_rf_single_no_spatial_prior,35,"{""class_weight"": ""balanced"", ""max_depth"": 16, ""max_features"": ""log2"", ""min_samples_leaf"": 6, ""min_samples_split"": 12, ""n_estimators"": 450}",25,5,45
0.17,0.9081770471559771,0.0012573340923206877,0.908738171868234,0.0010791836163955677,0.9992857142857142,0.001091089451179958,0.9518626538384595,0.0006726430763401795,0.13333333333333333,0.2867441755680875,0.0035714285714285713,0.0071428571428571435,0.006936882435974995,0.013874351061773172,0.2594107919596014,0.04857732371188753,rf,single,diagnostic,v2_rf_single_no_spatial_prior,35,"{""class_weight"": ""balanced"", ""max_depth"": 16, ""max_features"": ""log2"", ""min_samples_leaf"": 6, ""min_samples_split"": 12, ""n_estimators"": 450}",25,5,45
0.18,0.9081772225613391,0.0016126577034811511,0.9090936672428459,0.0014467897874427516,0.9988095238095236,0.0012485819621073189,0.9518410169276493,0.0008494072613006275,0.2111111111111111,0.3247030932489435,0.008312447786131997,0.012806536608661063,0.015897136177673875,0.024398351027585703,0.2594107919596014,0.04857732371188753,rf,single,diagnostic,v2_rf_single_no_spatial_prior,35,"{""class_weight"": ""balanced"", ""max_depth"": 16, ""max_features"": ""log2"", ""min_samples_leaf"": 6, ""min_samples_split"": 12, ""n_estimators"": 450}",25,5,45
0.19,0.9089344475081915,0.002541932333786676,0.9101385709766749,0.0015942709340690693,0.9983333333333333,0.001658141461569532,0.952197234938377,0.0013461880641807502,0.55,0.37736905994981546,0.021303258145363404,0.014850196859469271,0.04080012030856413,0.028295099577076006,0.2594107919596014,0.04857732371188753,rf,single,diagnostic,v2_rf_single_no_spatial_prior,35,"{""class_weight"": ""balanced"", ""max_depth"": 16, ""max_features"": ""log2"", ""min_samples_leaf"": 6, ""min_samples_split"": 12, ""n_estimators"": 450}",25,5,45
0.2,0.9089344475081914,0.0028044009574063103,0.9106741491099047,0.0017670308087824015,0.9976190476190475,0.0020273079007055166,0.9521645011127879,0.0014880801182860892,0.6044444444444445,0.3276440405134063,0.028404344193817873,0.017022425681554373,0.05362443132287416,0.03116454661603368,0.2594107919596014,0.04857732371188753,rf,single,diagnostic,v2_rf_single_no_spatial_prior,35,"{""class_weight"": ""balanced"", ""max_depth"": 16, ""max_features"": ""log2"", ""min_samples_leaf"": 6, ""min_samples_split"": 12, ""n_estimators"": 450}",25,5,45
0.21,0.9093668217250066,0.0029340165340402988,0.9112486845328555,0.0017450048972562277,0.9973809523809524,0.002149460724436634,0.9523699467866104,0.001556982140455009,0.5999999999999999,0.3045944480416178,0.03546365914786967,0.018364988366459205,0.06641281283116349,0.033635632537908716,0.2594107919596014,0.04857732371188753,rf,single,diagnostic,v2_rf_single_no_spatial_prior,35,"{""class_weight"": ""balanced"", ""max_depth"": 16, ""max_features"": ""log2"", ""min_samples_leaf"": 6, ""min_samples_split"": 12, ""n_estimators"": 450}",25,5,45
0.22,0.9091501961031945,0.0028305216330970985,0.9117679032125433,0.0018123853307723714,0.9964285714285714,0.00225876975726312,0.9522182254339612,0.0014981064433212685,0.551111111111111,0.2752664711393941,0.04252297410192147,0.0211959391586137,0.07819194746548502,0.0380048826040862,0.2594107919596014,0.04857732371188753,rf,single,diagnostic,v2_rf_single_no_spatial_prior,35,"{""class_weight"": ""balanced"", ""max_depth"": 16, ""max_features"": ""log2"", ""min_samples_leaf"": 6, ""min_samples_split"": 12, ""n_estimators"": 450}",25,5,45
0.23,0.9087181726971031,0.003838492804148676,0.9124534390080971,0.0027191788565099273,0.9949999999999998,0.0030022667173615347,0.9519363436001183,0.002026368779249339,0.4985185185185185,0.26495955640341123,0.052025898078529656,0.030800369019523825,0.09294012644174146,0.052300703919803765,0.2594107919596014,0.04857732371188753,rf,single,diagnostic,v2_rf_single_no_spatial_prior,35,"{""class_weight"": ""balanced"", ""max_depth"": 16, ""max_features"": ""log2"", ""min_samples_leaf"": 6, ""min_samples_split"": 12, ""n_estimators"": 450}",25,5,45
0.24,0.9080686466423906,0.004720632254090435,0.9132118605796122,0.0031030157993039474,0.9932142857142859,0.00428571428571427,0.9515268514036862,0.0025143666106836353,0.4809375809375809,0.2594522478334722,0.06267752715121136,0.0354586157537082,0.10899339178669913,0.05884685556017901,0.2594107919596014,0.04857732371188753,rf,single,diagnostic,v2_rf_single_no_spatial_prior,35,"{""class_weight"": ""balanced"", ""max_depth"": 16, ""max_features"": ""log2"", ""min_samples_leaf"": 6, ""min_samples_split"": 12, ""n_estimators"": 450}",25,5,45
0.25,0.9086092459674309,0.004171088843537817,0.9146154443424176,0.002257776912562477,0.9920238095238096,0.004463888871250634,0.9517413949016438,0.0022713643036569187,0.5264448514448515,0.14439655661831682,0.0804093567251462,0.02500140454412883,0.13770674978029457,0.03939798498111783,0.2594107919596014,0.04857732371188753,rf,single,diagnostic,v2_rf_single_no_spatial_prior,35,"{""class_weight"": ""balanced"", ""max_depth"": 16, ""max_features"": ""log2"", ""min_samples_leaf"": 6, ""min_samples_split"": 12, ""n_estimators"": 450}",25,5,45
