threshold,accuracy_mean,accuracy_std,open_precision_mean,open_precision_std,open_recall_mean,open_recall_std,open_f1_mean,open_f1_std,closed_precision_mean,closed_precision_std,closed_recall_mean,closed_recall_std,closed_f1_mean,closed_f1_std,pr_auc_closed_mean,pr_auc_closed_std,model_key,mode,gate_type,feature_bundle,selected_trial,params_json,category_top_k,dataset_top_k,cluster_top_k,selection_rationale
0.57,0.8450183123197711,0.015192607505727778,0.9255922006960147,0.0049823530602970695,0.9019047619047618,0.01538157893460687,0.9135365068214354,0.009086873711132759,0.22569968330529017,0.04392342884278457,0.28015873015873016,0.04845637797641621,0.24912855178849108,0.04349756463791166,0.19785478727359337,0.028985568267757448,lr,two-stage,diagnostic,v2_lr2,19,"{""C"": 0.018049168526244785, ""class_weight"": {""0"": 5.0, ""1"": 1.0}, ""max_iter"": 1000, ""solver"": ""lbfgs""}",50,5,20,Diagnostic gate-pass candidate selected.
0.57,0.8450183123197711,0.015192607505727778,0.9255922006960147,0.0049823530602970695,0.9019047619047618,0.01538157893460687,0.9135365068214354,0.009086873711132759,0.22569968330529017,0.04392342884278457,0.28015873015873016,0.04845637797641621,0.24912855178849108,0.04349756463791166,0.19785478727359337,0.028985568267757448,lr,two-stage,diagnostic,v2_lr2,19,"{""C"": 0.018049168526244785, ""class_weight"": {""0"": 5.0, ""1"": 1.0}, ""max_iter"": 1000, ""solver"": ""lbfgs""}",50,10,20,Diagnostic gate-pass candidate selected.
