model_key,mode,gate_type,feature_bundle,selected_trial,params_json,category_top_k,dataset_top_k,cluster_top_k,threshold,accuracy_mean,accuracy_std,open_precision_mean,open_precision_std,open_recall_mean,open_recall_std,open_f1_mean,open_f1_std,closed_precision_mean,closed_precision_std,closed_recall_mean,closed_recall_std,closed_f1_mean,closed_f1_std,pr_auc_closed_mean,pr_auc_closed_std
lr,two-stage,diagnostic,v2_lr2,19,"{""C"": 0.018049168526244785, ""class_weight"": {""0"": 5.0, ""1"": 1.0}, ""max_iter"": 1000, ""solver"": ""lbfgs""}",45,5,10,0.5,0.8777857879559663,0.00929412249846772,0.9206278226869886,0.0030826128452399754,0.9471428571428571,0.010243630840142369,0.9336685842741084,0.005346997662248927,0.26855715692822435,0.047590047489315244,0.18920217209690895,0.03199079564395203,0.22062411845154123,0.03347247364214039,0.19390999193136707,0.031213769787231366
lr,two-stage,diagnostic,v2_lr2,19,"{""C"": 0.018049168526244785, ""class_weight"": {""0"": 5.0, ""1"": 1.0}, ""max_iter"": 1000, ""solver"": ""lbfgs""}",45,5,20,0.5,0.8772455394416496,0.010307762574712638,0.9206739753233942,0.0025076079498570097,0.9464285714285713,0.011609432008699905,0.933339175049356,0.0059598732594928205,0.2693919961400369,0.04673894355214585,0.19035087719298247,0.025828118512057147,0.2212713699793732,0.02665510127370916,0.19437345380940946,0.030589888399034107
lr,two-stage,diagnostic,v2_lr2,19,"{""C"": 0.018049168526244785, ""class_weight"": {""0"": 5.0, ""1"": 1.0}, ""max_iter"": 1000, ""solver"": ""lbfgs""}",45,5,30,0.5,0.8767058171434184,0.011460712624336278,0.9206255779341099,0.0035742734321774347,0.9458333333333333,0.011839104657573159,0.9330263017757419,0.006564407297130189,0.2671023205592476,0.058094310361408046,0.19039264828738517,0.03507885425266466,0.22069309996340353,0.03926830414209013,0.19537475612732394,0.03132094782798167
lr,two-stage,diagnostic,v2_lr2,19,"{""C"": 0.018049168526244785, ""class_weight"": {""0"": 5.0, ""1"": 1.0}, ""max_iter"": 1000, ""solver"": ""lbfgs""}",45,10,10,0.5,0.8777857879559663,0.00929412249846772,0.9206278226869886,0.0030826128452399754,0.9471428571428571,0.010243630840142369,0.9336685842741084,0.005346997662248927,0.26855715692822435,0.047590047489315244,0.18920217209690895,0.03199079564395203,0.22062411845154123,0.03347247364214039,0.19390999193136707,0.031213769787231366
lr,two-stage,diagnostic,v2_lr2,19,"{""C"": 0.018049168526244785, ""class_weight"": {""0"": 5.0, ""1"": 1.0}, ""max_iter"": 1000, ""solver"": ""lbfgs""}",45,10,20,0.5,0.8772455394416496,0.010307762574712638,0.9206739753233942,0.0025076079498570097,0.9464285714285713,0.011609432008699905,0.933339175049356,0.0059598732594928205,0.2693919961400369,0.04673894355214585,0.19035087719298247,0.025828118512057147,0.2212713699793732,0.02665510127370916,0.19437345380940946,0.030589888399034107
lr,two-stage,diagnostic,v2_lr2,19,"{""C"": 0.018049168526244785, ""class_weight"": {""0"": 5.0, ""1"": 1.0}, ""max_iter"": 1000, ""solver"": ""lbfgs""}",45,10,30,0.5,0.8767058171434184,0.011460712624336278,0.9206255779341099,0.0035742734321774347,0.9458333333333333,0.011839104657573159,0.9330263017757419,0.006564407297130189,0.2671023205592476,0.058094310361408046,0.19039264828738517,0.03507885425266466,0.22069309996340353,0.03926830414209013,0.19537475612732394,0.03132094782798167
lr,two-stage,diagnostic,v2_lr2,19,"{""C"": 0.018049168526244785, ""class_weight"": {""0"": 5.0, ""1"": 1.0}, ""max_iter"": 1000, ""solver"": ""lbfgs""}",45,15,10,0.5,0.8777857879559663,0.00929412249846772,0.9206278226869886,0.0030826128452399754,0.9471428571428571,0.010243630840142369,0.9336685842741084,0.005346997662248927,0.26855715692822435,0.047590047489315244,0.18920217209690895,0.03199079564395203,0.22062411845154123,0.03347247364214039,0.19390999193136707,0.031213769787231366
lr,two-stage,diagnostic,v2_lr2,19,"{""C"": 0.018049168526244785, ""class_weight"": {""0"": 5.0, ""1"": 1.0}, ""max_iter"": 1000, ""solver"": ""lbfgs""}",45,15,20,0.5,0.8772455394416496,0.010307762574712638,0.9206739753233942,0.0025076079498570097,0.9464285714285713,0.011609432008699905,0.933339175049356,0.0059598732594928205,0.2693919961400369,0.04673894355214585,0.19035087719298247,0.025828118512057147,0.2212713699793732,0.02665510127370916,0.19437345380940946,0.030589888399034107
lr,two-stage,diagnostic,v2_lr2,19,"{""C"": 0.018049168526244785, ""class_weight"": {""0"": 5.0, ""1"": 1.0}, ""max_iter"": 1000, ""solver"": ""lbfgs""}",45,15,30,0.5,0.8767058171434184,0.011460712624336278,0.9206255779341099,0.0035742734321774347,0.9458333333333333,0.011839104657573159,0.9330263017757419,0.006564407297130189,0.2671023205592476,0.058094310361408046,0.19039264828738517,0.03507885425266466,0.22069309996340353,0.03926830414209013,0.19537475612732394,0.03132094782798167
lr,two-stage,diagnostic,v2_lr2,19,"{""C"": 0.018049168526244785, ""class_weight"": {""0"": 5.0, ""1"": 1.0}, ""max_iter"": 1000, ""solver"": ""lbfgs""}",45,20,10,0.5,0.8777857879559663,0.00929412249846772,0.9206278226869886,0.0030826128452399754,0.9471428571428571,0.010243630840142369,0.9336685842741084,0.005346997662248927,0.26855715692822435,0.047590047489315244,0.18920217209690895,0.03199079564395203,0.22062411845154123,0.03347247364214039,0.19390999193136707,0.031213769787231366
lr,two-stage,diagnostic,v2_lr2,19,"{""C"": 0.018049168526244785, ""class_weight"": {""0"": 5.0, ""1"": 1.0}, ""max_iter"": 1000, ""solver"": ""lbfgs""}",45,20,20,0.5,0.8772455394416496,0.010307762574712638,0.9206739753233942,0.0025076079498570097,0.9464285714285713,0.011609432008699905,0.933339175049356,0.0059598732594928205,0.2693919961400369,0.04673894355214585,0.19035087719298247,0.025828118512057147,0.2212713699793732,0.02665510127370916,0.19437345380940946,0.030589888399034107
lr,two-stage,diagnostic,v2_lr2,19,"{""C"": 0.018049168526244785, ""class_weight"": {""0"": 5.0, ""1"": 1.0}, ""max_iter"": 1000, ""solver"": ""lbfgs""}",45,20,30,0.5,0.8767058171434184,0.011460712624336278,0.9206255779341099,0.0035742734321774347,0.9458333333333333,0.011839104657573159,0.9330263017757419,0.006564407297130189,0.2671023205592476,0.058094310361408046,0.19039264828738517,0.03507885425266466,0.22069309996340353,0.03926830414209013,0.19537475612732394,0.03132094782798167
lr,two-stage,diagnostic,v2_lr2,19,"{""C"": 0.018049168526244785, ""class_weight"": {""0"": 5.0, ""1"": 1.0}, ""max_iter"": 1000, ""solver"": ""lbfgs""}",45,25,10,0.5,0.8777857879559663,0.00929412249846772,0.9206278226869886,0.0030826128452399754,0.9471428571428571,0.010243630840142369,0.9336685842741084,0.005346997662248927,0.26855715692822435,0.047590047489315244,0.18920217209690895,0.03199079564395203,0.22062411845154123,0.03347247364214039,0.19390999193136707,0.031213769787231366
lr,two-stage,diagnostic,v2_lr2,19,"{""C"": 0.018049168526244785, ""class_weight"": {""0"": 5.0, ""1"": 1.0}, ""max_iter"": 1000, ""solver"": ""lbfgs""}",45,25,20,0.5,0.8772455394416496,0.010307762574712638,0.9206739753233942,0.0025076079498570097,0.9464285714285713,0.011609432008699905,0.933339175049356,0.0059598732594928205,0.2693919961400369,0.04673894355214585,0.19035087719298247,0.025828118512057147,0.2212713699793732,0.02665510127370916,0.19437345380940946,0.030589888399034107
lr,two-stage,diagnostic,v2_lr2,19,"{""C"": 0.018049168526244785, ""class_weight"": {""0"": 5.0, ""1"": 1.0}, ""max_iter"": 1000, ""solver"": ""lbfgs""}",45,25,30,0.5,0.8767058171434184,0.011460712624336278,0.9206255779341099,0.0035742734321774347,0.9458333333333333,0.011839104657573159,0.9330263017757419,0.006564407297130189,0.2671023205592476,0.058094310361408046,0.19039264828738517,0.03507885425266466,0.22069309996340353,0.03926830414209013,0.19537475612732394,0.03132094782798167
lr,two-stage,diagnostic,v2_lr2,19,"{""C"": 0.018049168526244785, ""class_weight"": {""0"": 5.0, ""1"": 1.0}, ""max_iter"": 1000, ""solver"": ""lbfgs""}",45,30,10,0.5,0.8777857879559663,0.00929412249846772,0.9206278226869886,0.0030826128452399754,0.9471428571428571,0.010243630840142369,0.9336685842741084,0.005346997662248927,0.26855715692822435,0.047590047489315244,0.18920217209690895,0.03199079564395203,0.22062411845154123,0.03347247364214039,0.19390999193136707,0.031213769787231366
lr,two-stage,diagnostic,v2_lr2,19,"{""C"": 0.018049168526244785, ""class_weight"": {""0"": 5.0, ""1"": 1.0}, ""max_iter"": 1000, ""solver"": ""lbfgs""}",45,30,20,0.5,0.8772455394416496,0.010307762574712638,0.9206739753233942,0.0025076079498570097,0.9464285714285713,0.011609432008699905,0.933339175049356,0.0059598732594928205,0.2693919961400369,0.04673894355214585,0.19035087719298247,0.025828118512057147,0.2212713699793732,0.02665510127370916,0.19437345380940946,0.030589888399034107
