batch_id,labeled_cumulative,labeled_this_round,n_auto_accept,n_review,n_defer,auto_label_precision,auto_conf_mean,auto_conf_median,auto_conf_10pct,auto_conf_90pct,test_closed_pr_auc,test_closed_f1,test_closed_precision,test_closed_recall
0,51,51,0,51,0,,,,,,,,,
1,207,156,105,51,0,0.9428571428571428,0.99,0.99,0.99,0.99,0.09534189507856393,0.0,0.0,0.0
2,719,512,461,51,0,0.8785249457700651,0.9493629762306748,0.9508104529085958,0.8871865838496286,0.99,0.11550831138587343,0.14285714285714285,0.1282051282051282,0.16129032258064516
3,1232,513,513,0,0,0.9083820662768031,0.9979205847127964,0.9999997465594134,0.99,0.9999998425958375,0.08909272964957232,0.0,0.0,0.0
4,1745,513,513,0,0,0.9259259259259259,0.997297551066504,0.999999590262014,0.99,0.9999996713984459,0.08735490353648365,0.0,0.0,0.0
5,2262,517,517,0,0,0.9303675048355899,0.997805487207216,0.9999997939474599,0.99,0.9999998570199334,0.09483366239371202,0.0,0.0,0.0
