batch_id,labeled_cumulative,labeled_this_round,n_auto_accept,n_review,n_defer,auto_label_precision,auto_conf_mean,auto_conf_median,auto_conf_10pct,auto_conf_90pct,test_closed_pr_auc,test_closed_f1,test_closed_precision,test_closed_recall
0,51,51,0,51,0,,,,,,,,,
1,543,492,441,51,0,0.8888888888888888,0.9569841269841272,0.97,0.9,0.99,0.1665302277121161,0.0625,1.0,0.03225806451612903
2,1056,513,502,11,0,0.9023904382470119,0.985688282673058,0.9900891945952566,0.9702213078977985,1.0,0.15333522691898327,0.0,0.0,0.0
3,1569,513,506,7,0,0.9150197628458498,0.9927452339285496,0.9970631341600903,0.9805341569767441,1.0,0.1523206442979269,0.0,0.0,0.0
4,2082,513,511,2,0,0.9256360078277887,0.9899421168076349,0.9942998897464167,0.9711375739337968,1.0,0.14823775111972737,0.0,0.0,0.0
5,2599,517,512,5,0,0.935546875,0.9904365039033353,0.9953113636363636,0.9744550485156117,1.0,0.12790276753458782,0.0,0.0,0.0
