batch_id,labeled_cumulative,labeled_this_round,n_auto_accept,n_review,n_defer,auto_label_precision,auto_conf_mean,auto_conf_median,auto_conf_10pct,auto_conf_90pct,test_closed_pr_auc,test_closed_f1,test_closed_precision,test_closed_recall
0,51,51,0,51,0,,,,,,,,,
1,207,156,105,51,0,0.9428571428571428,0.99,0.99,0.99,0.99,0.09534189507856393,0.17275747508305647,0.0962962962962963,0.8387096774193549
2,365,158,107,51,0,0.9345794392523364,0.9899999999999999,0.99,0.99,0.99,0.11031784331693627,0.041666666666666664,0.058823529411764705,0.03225806451612903
3,522,157,106,51,0,0.9528301886792453,0.99,0.99,0.99,0.99,0.11826687445400381,0.12765957446808507,0.1875,0.0967741935483871
4,995,473,422,51,0,0.9289099526066351,0.8971600339551108,0.8654331564903259,0.8546705722808838,0.99,0.10639278686322132,0.0,0.0,0.0
5,1484,489,438,51,0,0.9360730593607306,0.9495545304005276,0.9456973671913147,0.9430812001228333,0.99,0.09918664844580538,0.0,0.0,0.0
