model_key,mode,gate_type,feature_bundle,selected_trial,params_json,category_top_k,dataset_top_k,cluster_top_k,threshold,confirm_n_splits,confirm_n_repeats,confirm_random_state,accuracy_mean,accuracy_std,open_precision_mean,open_precision_std,open_recall_mean,open_recall_std,open_f1_mean,open_f1_std,closed_precision_mean,closed_precision_std,closed_recall_mean,closed_recall_std,closed_f1_mean,closed_f1_std,pr_auc_closed_mean,pr_auc_closed_std
rf,single,production,low_plus_medium,7,"{""class_weight"": {""0"": 4.0, ""1"": 1.0}, ""max_depth"": 8, ""max_features"": ""log2"", ""min_samples_leaf"": 5, ""min_samples_split"": 11, ""n_estimators"": 525}",50,5,70,0.48,5,10,142,0.9069437369761519,0.00346963778543637,0.9108732604145804,0.001956738496497645,0.9949285714285715,0.003595632271043773,0.9510427572120749,0.0018800949350051691,0.3879023199023199,0.267968321161534,0.03330827067669173,0.023401181141098414,0.06034080933525262,0.04134893887586782,0.21450960139425063,0.03252629781086388
rf,single,diagnostic,low_plus_medium,14,"{""class_weight"": ""balanced"", ""max_depth"": 8, ""max_features"": ""log2"", ""min_samples_leaf"": 7, ""min_samples_split"": 6, ""n_estimators"": 375}",50,5,70,0.5,5,10,142,0.8462062977541097,0.019682419382845935,0.9260452635419019,0.004711370702464222,0.9028928571428572,0.024748453878732604,0.9141164030161743,0.012550002425167638,0.22989322350200894,0.034868427937978896,0.28331453634085213,0.05801922495989436,0.2514154843703364,0.03585017731675324,0.20349584012345867,0.03115760701791187
