batch_id,labeled_cumulative,labeled_this_round,n_auto_accept,n_review,n_defer,auto_label_precision,auto_conf_mean,auto_conf_median,auto_conf_10pct,auto_conf_90pct,test_closed_pr_auc,test_closed_f1,test_closed_precision,test_closed_recall
0,0,240,164,76,0,0.5548780487804879,0.9261577186821944,0.9248243198576163,0.8696281581230989,0.9883028526617512,,,,
1,240,226,150,76,0,0.8866666666666667,0.9604171734796595,0.99,0.8759926401268979,0.99,0.16148642367467456,0.30769230769230765,0.2553191489361702,0.3870967741935484
2,466,252,176,76,0,0.7215909090909091,0.9631403665564459,0.99,0.8781320890973159,0.99,0.15662734441627127,0.24175824175824173,0.18333333333333332,0.3548387096774194
3,718,259,183,76,0,0.6721311475409836,0.9631766623615144,0.99,0.8976455969456197,0.99,0.19912660512282834,0.2735042735042735,0.18604651162790697,0.5161290322580645
4,977,237,161,76,0,0.7515527950310559,0.9780437249046121,0.99,0.9437142946683051,0.99,0.19560211605845096,0.2711864406779661,0.1839080459770115,0.5161290322580645
5,1214,233,156,77,0,0.7628205128205128,0.9748697983319727,0.99,0.941310449804935,0.99,0.20470333054114126,0.26548672566371684,0.18292682926829268,0.4838709677419355
