model_key,mode,trial,feature_bundle,params_json,objective_score,accuracy_mean,accuracy_std,open_precision_mean,open_precision_std,open_recall_mean,open_recall_std,open_f1_mean,open_f1_std,closed_precision_mean,closed_precision_std,closed_recall_mean,closed_recall_std,closed_f1_mean,closed_f1_std,pr_auc_closed_mean,pr_auc_closed_std
rf,single,1,low_plus_medium,"{""class_weight"": ""balanced"", ""max_depth"": 16, ""max_features"": ""sqrt"", ""min_samples_leaf"": 6, ""min_samples_split"": 8, ""n_estimators"": 525}",0.11167504923332283,0.8676156096739567,0.009306298110867207,0.9144295893326074,0.0034108505835638496,0.9424999999999999,0.010738068841694934,0.9282181114376951,0.0053646949929159376,0.1797377501725328,0.04322576347164828,0.12418546365914787,0.03764960380274075,0.14558991257884676,0.03823516054327697,0.16740761223144113,0.02229186954439133
rf,single,2,low_plus_medium,"{""class_weight"": {""0"": 4.0, ""1"": 1.0}, ""max_depth"": 16, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""min_samples_split"": 13, ""n_estimators"": 375}",-0.09234580666213398,0.877999431686628,0.004448628109226063,0.9100223277265584,0.0023305549091982387,0.9607142857142857,0.005175491695067639,0.9346717385997458,0.002478603801635043,0.12534525108157646,0.05389112146798468,0.05676691729323308,0.02621519740812838,0.07771826904279895,0.03435194796356706,0.16572796591125952,0.023966827405215187
rf,single,3,low_plus_medium,"{""class_weight"": {""0"": 4.0, ""1"": 1.0}, ""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""min_samples_split"": 9, ""n_estimators"": 325}",0.10490038424245501,0.8870913932097075,0.007642308076271169,0.9122464918441473,0.0035318884746368693,0.9689285714285715,0.007196229171289219,0.9397205030981668,0.004250225163137115,0.19215628815628819,0.07662566206791017,0.07449874686716791,0.03812614166651454,0.10630791602091436,0.05075072198214801,0.18201747830820225,0.01546003615392464
rf,single,4,low_plus_medium,"{""class_weight"": ""balanced"", ""max_depth"": 8, ""max_features"": ""log2"", ""min_samples_leaf"": 7, ""min_samples_split"": 8, ""n_estimators"": 350}",0.2673884466779949,0.8559409796038645,0.01172334546862678,0.9254159734778359,0.006446790994520902,0.9153571428571429,0.018817056960456432,0.9202003927584744,0.0074093369948441245,0.23850275828228154,0.0338291448935874,0.2658521303258145,0.07968501118091924,0.24798886755243493,0.0477076378742318,0.1939957912555994,0.032236100904290944
rf,single,5,low_plus_medium,"{""class_weight"": {""0"": 5.0, ""1"": 1.0}, ""max_depth"": 14, ""max_features"": ""log2"", ""min_samples_leaf"": 4, ""min_samples_split"": 14, ""n_estimators"": 525}",0.07232514488101273,0.8854669641541604,0.008077655058314382,0.9115334364491753,0.0008372489383517987,0.9678571428571429,0.00924441364681767,0.9388320907168748,0.00460170379022391,0.1829416330795641,0.04153875506372513,0.06729323308270677,0.012800063343509447,0.09675007292801541,0.014419028088840083,0.18220989254087105,0.011147226605492352
rf,single,6,low_plus_medium,"{""class_weight"": ""balanced"", ""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 6, ""min_samples_split"": 7, ""n_estimators"": 325}",0.16534964410760866,0.8582121282283357,0.014381227181647483,0.9167562925997952,0.0025562824141246113,0.9282142857142859,0.016842608746502265,0.922374588908579,0.008603559030281973,0.18994876299224125,0.029246684155672678,0.1632205513784461,0.02659182120963617,0.17382854809715267,0.02323234373693516,0.16649188529852868,0.0204939008182559
rf,single,7,low_plus_medium,"{""class_weight"": {""0"": 4.0, ""1"": 1.0}, ""max_depth"": 8, ""max_features"": ""log2"", ""min_samples_leaf"": 5, ""min_samples_split"": 11, ""n_estimators"": 525}",0.15047561051026026,0.9033141089056811,0.0067866969223817596,0.9142625565133182,0.004963416833749201,0.9860714285714286,0.004573660169594912,0.948799594701223,0.003597417780281779,0.3510737628384687,0.15709377855312948,0.08176691729323309,0.05372711113665061,0.13045918444790322,0.0800673424635346,0.20016426062357046,0.03727723587707012
rf,single,8,low_plus_medium,"{""class_weight"": {""0"": 3.5, ""1"": 1.0}, ""max_depth"": 14, ""max_features"": ""log2"", ""min_samples_leaf"": 5, ""min_samples_split"": 7, ""n_estimators"": 525}",0.09562724394133859,0.9010392767686122,0.0030460441612612825,0.9113264384419304,0.003351801024700727,0.9871428571428572,0.0028571428571428858,0.9477128847548473,0.0015697147828604063,0.23186813186813188,0.13646520023617056,0.04630325814536341,0.035031955329874645,0.07648471094123269,0.05548489701659327,0.19142533000105905,0.02134812766115676
rf,single,9,low_plus_medium,"{""class_weight"": {""0"": 5.5, ""1"": 1.0}, ""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""min_samples_split"": 13, ""n_estimators"": 450}",0.08673251425032372,0.8773548169820454,0.006957589202570318,0.9130450829696292,0.004079527344454508,0.9560714285714287,0.00644838217330995,0.9340486362735717,0.0038509462689771375,0.17865047233468284,0.06160054400930742,0.09598997493734336,0.04033871374447726,0.12411376681785997,0.04735708299226111,0.15992566595756671,0.017222718170591435
rf,single,10,low_plus_medium,"{""class_weight"": {""0"": 5.5, ""1"": 1.0}, ""max_depth"": 14, ""max_features"": ""log2"", ""min_samples_leaf"": 4, ""min_samples_split"": 8, ""n_estimators"": 325}",0.17295693479262164,0.8887089814561453,0.005939537018694659,0.9154715100857773,0.002386399725672312,0.9667857142857142,0.008268454930564417,0.940404938597867,0.003452822778660812,0.2556892230576441,0.04436313943072417,0.11340852130325814,0.03278505404096189,0.1553019065175928,0.0364337544848563,0.17655028275028856,0.028173226475540197
rf,single,11,low_plus_medium,"{""class_weight"": ""balanced"", ""max_depth"": 8, ""max_features"": ""log2"", ""min_samples_leaf"": 7, ""min_samples_split"": 10, ""n_estimators"": 425}",0.2692888612907218,0.8452361657791154,0.02340112227756452,0.9260104791802801,0.004615072264013255,0.9017857142857142,0.029816616378202588,0.9134502588722828,0.014681005036316197,0.2303345227619241,0.03200175980607875,0.2838972431077694,0.05986559307619115,0.2499387361049207,0.03409919327414284,0.19350125185801131,0.026790675496142124
rf,single,12,low_plus_medium,"{""class_weight"": ""balanced"", ""max_depth"": 8, ""max_features"": ""log2"", ""min_samples_leaf"": 7, ""min_samples_split"": 11, ""n_estimators"": 425}",0.2401446567785956,0.866330589993475,0.016924820484928434,0.9209852730245176,0.006925419606940677,0.9328571428571429,0.012757550785351224,0.926868339981044,0.009507485214353231,0.24187136353249308,0.08857032283196559,0.206077694235589,0.061154422923193584,0.22201923292059664,0.07248693472908262,0.18125423857998957,0.02711484878610034
rf,single,13,low_plus_medium,"{""class_weight"": ""balanced"", ""max_depth"": 8, ""max_features"": ""log2"", ""min_samples_leaf"": 7, ""min_samples_split"": 10, ""n_estimators"": 400}",0.24749062109469616,0.855611568334421,0.012035660847727444,0.922835742908464,0.006351999438698756,0.9178571428571429,0.011682448024140092,0.9202958778406474,0.00693068744173213,0.22414161437936916,0.05298706434893486,0.23715538847117798,0.07160066986787278,0.2294848365381506,0.06088105420496164,0.18005784556545557,0.03269453742519465
rf,single,14,low_plus_medium,"{""class_weight"": ""balanced"", ""max_depth"": 8, ""max_features"": ""log2"", ""min_samples_leaf"": 7, ""min_samples_split"": 6, ""n_estimators"": 375}",0.26906908205532737,0.8630785745858679,0.011375786872589078,0.9247007104534936,0.003783593810453955,0.9246428571428572,0.01610710326254239,0.9245765292615566,0.006969523794754038,0.25404163587090417,0.022958827119688194,0.2518796992481203,0.047497288603358195,0.25020115644848484,0.024284271350710113,0.18867925606842534,0.028712776686269436
rf,single,15,low_plus_medium,"{""class_weight"": ""balanced"", ""max_depth"": 8, ""max_features"": ""log2"", ""min_samples_leaf"": 6, ""min_samples_split"": 6, ""n_estimators"": 475}",0.2481009691687357,0.8539776673893368,0.03466711674276702,0.9223510726307722,0.003697263430561993,0.9164285714285715,0.04082066303494156,0.9189166405937165,0.02152607014931401,0.23782623633555308,0.0597145740284013,0.2341478696741855,0.0475512312244104,0.22978443694179598,0.04136784496823464,0.18316532226939716,0.0301872082142367
rf,single,16,low_plus_medium,"{""class_weight"": ""balanced"", ""max_depth"": 12, ""max_features"": ""log2"", ""min_samples_leaf"": 7, ""min_samples_split"": 6, ""n_estimators"": 475}",0.2432036077750013,0.8659985476436043,0.009342044805280307,0.9215958701087015,0.0029412208390832777,0.9317857142857143,0.011146061810233731,0.9266253089597736,0.005546103627749389,0.24076251497141002,0.026540190427561623,0.2129699248120301,0.028782117911874006,0.22488640477138327,0.024506046705874994,0.18317203003618027,0.019149741958477875
rf,single,17,low_plus_medium,"{""class_weight"": ""balanced"", ""max_depth"": 8, ""max_features"": ""log2"", ""min_samples_leaf"": 6, ""min_samples_split"": 11, ""n_estimators"": 575}",0.25335762371846837,0.8663169083752551,0.007434191454176621,0.9228396083438218,0.006137800861479186,0.9307142857142857,0.0034626284695830796,0.92674964811407,0.003901443232979183,0.24445810238989213,0.06081172636667595,0.22669172932330825,0.06844405729289026,0.23494399593344245,0.06482675305916422,0.18413627785025927,0.04974181377159387
rf,single,18,low_plus_medium,"{""class_weight"": ""balanced"", ""max_depth"": 8, ""max_features"": ""log2"", ""min_samples_leaf"": 7, ""min_samples_split"": 10, ""n_estimators"": 400}",0.2196887905171171,0.865018207076554,0.006530431809159098,0.9194475477432075,0.004116420185459427,0.9332142857142858,0.007016743822995868,0.9262589516852662,0.0036632160041994953,0.2186371346790176,0.05078783062325414,0.187593984962406,0.05197835775531223,0.20129605370511455,0.05048637730084687,0.1839273681200254,0.02685690621178989
