model_key,mode,gate_type,feature_bundle,selected_trial,params_json,accuracy_mean,accuracy_std,open_precision_mean,open_precision_std,open_recall_mean,open_recall_std,open_f1_mean,open_f1_std,closed_precision_mean,closed_precision_std,closed_recall_mean,closed_recall_std,closed_f1_mean,closed_f1_std,pr_auc_closed_mean,pr_auc_closed_std
rf,single,production,low_plus_medium,7,"{""class_weight"": {""0"": 4.0, ""1"": 1.0}, ""max_depth"": 8, ""max_features"": ""log2"", ""min_samples_leaf"": 5, ""min_samples_split"": 11, ""n_estimators"": 525}",0.9011464494446666,0.004606611331224072,0.9119597178070259,0.002807609947445267,0.9864285714285714,0.0037908769828787613,0.9477285138144984,0.0024574611072267958,0.27200216450216447,0.15173372942334065,0.05428153717627402,0.03444623863997035,0.08979052258033997,0.05559257619854178,0.20245329597406891,0.027770702445071696
rf,single,diagnostic,low_plus_medium,14,"{""class_weight"": ""balanced"", ""max_depth"": 8, ""max_features"": ""log2"", ""min_samples_leaf"": 7, ""min_samples_split"": 6, ""n_estimators"": 375}",0.856691363741607,0.026588830427731237,0.9226503279711264,0.00431024986828397,0.9194047619047617,0.032686322699410186,0.9206974899190528,0.016592284059056387,0.23718053750007423,0.05095967837037604,0.23418964076858811,0.05527472030068156,0.23064620303820157,0.03641589223982913,0.18177289548374959,0.021829276574110084
