model_key,mode,gate_type,feature_bundle,selected_trial,params_json,category_top_k,dataset_top_k,cluster_top_k,threshold,n_train_plus_val,n_alex_eval,accuracy,open_precision,open_recall,open_f1,closed_precision,closed_recall,closed_f1,pr_auc_closed,eval_scope
rf,single,diagnostic,v2_rf_single_no_spatial_prior,35,"{""class_weight"": ""balanced"", ""max_depth"": 16, ""max_features"": ""log2"", ""min_samples_leaf"": 6, ""min_samples_split"": 12, ""n_estimators"": 450}",25,5,45,0.39,3082,79734,0.8425264002809341,0.8461712874903952,0.99490513781306,0.9145303799708657,0.008645533141210375,0.00024559967253376993,0.0004776309504855915,0.1546872645174452,all
rf,single,diagnostic,v2_rf_single_no_spatial_prior,35,"{""class_weight"": ""balanced"", ""max_depth"": 16, ""max_features"": ""log2"", ""min_samples_leaf"": 6, ""min_samples_split"": 12, ""n_estimators"": 450}",25,5,45,0.39,3082,42886,0.7823765331343562,0.7826715812065507,0.9994935502130068,0.8778930566640064,0.15,0.0003219229531065565,0.00064246707356248,0.23389083494685584,nyc
rf,single,diagnostic,v2_rf_single_no_spatial_prior,35,"{""class_weight"": ""balanced"", ""max_depth"": 16, ""max_features"": ""log2"", ""min_samples_leaf"": 6, ""min_samples_split"": 12, ""n_estimators"": 450}",25,5,45,0.39,3082,36848,0.9125325662179765,0.920703157087703,0.9903687558906692,0.9542661728605282,0.0,0.0,0.0,0.08091719201058079,sf
