model_key,mode,trial,feature_bundle,params_json,accuracy_mean,accuracy_std,open_precision_mean,open_precision_std,open_recall_mean,open_recall_std,open_f1_mean,open_f1_std,closed_precision_mean,closed_precision_std,closed_recall_mean,closed_recall_std,closed_f1_mean,closed_f1_std,pr_auc_closed_mean,pr_auc_closed_std
lr,single,1,low_plus_medium,"{""C"": 0.2810288421431713, ""class_weight"": null, ""max_iter"": 3000, ""solver"": ""lbfgs""}",0.8942231998147718,0.0076586529992682,0.9104147639327449,0.0018513821670569969,0.9800000000000001,0.007937896703890298,0.9439138140003072,0.004260626715060442,0.18881118881118883,0.08988122524788603,0.04254385964912281,0.017907526862879025,0.0688466523233863,0.029801641506008617,0.15285769838544785,0.023714184467521292
lr,single,2,low_plus_medium,"{""C"": 2.004623337060827, ""class_weight"": ""balanced"", ""max_iter"": 3000, ""solver"": ""lbfgs""}",0.6820302469005873,0.016738599729478776,0.9369047534816278,0.007119547281443295,0.6971428571428572,0.024080011187196534,0.7991054349626079,0.014260565495923047,0.14984419804784493,0.009366982136616788,0.5318295739348371,0.06890196783547389,0.23354872122764658,0.017379507131333533,0.12797920574193758,0.009778822043703221
lr,single,3,low_plus_medium,"{""C"": 16.617230619519496, ""class_weight"": null, ""max_iter"": 1000, ""solver"": ""lbfgs""}",0.7835762697594141,0.017137321804271025,0.9131945443137457,0.0032743984177985284,0.8417857142857142,0.019052826669070197,0.8759361357885467,0.011023858519464984,0.11656262231271117,0.02204945702109836,0.20538847117794487,0.0364608898163906,0.1482982800656078,0.02618152053852534,0.1404928968417482,0.019359113559044926
lr,single,4,low_plus_medium,"{""C"": 3.9338867236071255, ""class_weight"": {""0"": 4.0, ""1"": 1.0}, ""max_iter"": 2000, ""solver"": ""lbfgs""}",0.731986044749416,0.013635583244960123,0.9283460664255815,0.004266920091611336,0.7639285714285714,0.012545834335893076,0.8381159804289939,0.009066187228154866,0.15083339733199677,0.01647323718297768,0.41466165413533834,0.0335646663991277,0.2211364540658618,0.02236913060298546,0.1396325841306761,0.025202691999161503
lr,single,5,low_plus_medium,"{""C"": 0.30671674780076136, ""class_weight"": null, ""max_iter"": 2000, ""solver"": ""lbfgs""}",0.8760487486581491,0.02397155095077746,0.9092103875233641,0.0043664231621676946,0.9592857142857142,0.024831061851098127,0.9334596286977401,0.01357871167702198,0.20434933487565066,0.21113429647250628,0.04962406015037594,0.03459055222676224,0.07233327632014049,0.04841137615940551,0.15036768262644862,0.031145199367127476
lr,single,6,low_plus_medium,"{""C"": 11.462491513009432, ""class_weight"": ""balanced"", ""max_iter"": 3000, ""solver"": ""lbfgs""}",0.6752289039971375,0.02959572848338547,0.9378566936561002,0.007805866872985083,0.6882142857142857,0.03583194903195431,0.7932987070883993,0.023531917893500082,0.15035773131987756,0.01272977344112227,0.5462406015037594,0.06690620420074475,0.23535803919949597,0.019479208603103485,0.12752544576804223,0.009161816270284989
lr,single,7,low_plus_medium,"{""C"": 5.199490208419082, ""class_weight"": ""balanced"", ""max_iter"": 2000, ""solver"": ""lbfgs""}",0.6674288029636489,0.024463588915788,0.940002791217663,0.005944184717487329,0.6771428571428572,0.027557916748372026,0.7869003704830728,0.019272306808527664,0.15163539603333526,0.013703813117307296,0.5708646616541354,0.04748092023323485,0.2394141774784535,0.020202667919926788,0.13332716271010195,0.011091804507740033
lr,single,8,low_plus_medium,"{""C"": 0.05624991063156872, ""class_weight"": ""balanced"", ""max_iter"": 1000, ""solver"": ""lbfgs""}",0.6388752657391231,0.03165423963940901,0.9353004405553726,0.004347416688100425,0.647142857142857,0.03480265061451379,0.7645125667742853,0.025818502025055114,0.13804766682516043,0.01232611375851913,0.556704260651629,0.019934267392823564,0.22099708401487567,0.016488471042750582,0.21294187005444978,0.017746652625026116
lr,single,9,low_plus_medium,"{""C"": 0.016242866566580996, ""class_weight"": ""balanced"", ""max_iter"": 3000, ""solver"": ""lbfgs""}",0.6418168136563599,0.04314588504448871,0.934506422271799,0.0049055648109037455,0.6514285714285715,0.051388873567442706,0.7665078589731048,0.035977165195284544,0.13743635556071124,0.01342435913109784,0.5457393483709273,0.054729061112107076,0.2189374086460687,0.017112866249147315,0.15342122029193184,0.025772049615127315
lr,single,10,low_plus_medium,"{""C"": 3.180316697288289, ""class_weight"": {""0"": 2.0, ""1"": 1.0}, ""max_iter"": 2000, ""solver"": ""lbfgs""}",0.7839009450840894,0.02252752328821871,0.9204858824952392,0.005804379868310399,0.8342857142857143,0.027696422814773285,0.8750015071332433,0.014837744831147937,0.14737316173475143,0.024877844710816308,0.2834586466165413,0.06704418755309062,0.19265595273144068,0.03421530828996746,0.13554641177040083,0.018864858964737295
