model_family,model_key,mode,feature_bundle,decision_threshold,accuracy_mean,accuracy_std,open_precision_mean,open_precision_std,open_recall_mean,open_recall_std,open_f1_mean,open_f1_std,closed_precision_mean,closed_precision_std,closed_recall_mean,closed_recall_std,closed_f1_mean,closed_f1_std,pr_auc_closed_mean,pr_auc_closed_std
LightGBM,lightgbm,single,low_plus_medium,0.5,0.8709712896503821,0.018097644134910745,0.9104676465615422,0.004391322967435582,0.9516666666666667,0.025303070641086875,0.9304119304698205,0.010962646156583664,0.11494490237281998,0.05608367735337544,0.06979949874686717,0.06603953975240283,0.08127312523727107,0.057870887138661634,0.1378221798746732,0.01819883432216162
LightGBM,lightgbm,two-stage,low_plus_medium,0.5,0.8821121612045437,0.014527998864965896,0.9122236840554275,0.006082255942249898,0.9630952380952381,0.023897583753012847,0.9367584589524606,0.008970999764994308,0.13859323838469814,0.08860428155883936,0.07800751879699247,0.08811536269889075,0.09201752800943218,0.08567430360533605,0.11554462713712009,0.031033731616902312
LogisticRegression,lr,single,low_plus_medium,0.5,0.6178862601472002,0.023157971630342437,0.9373461441047121,0.008764021869122802,0.620952380952381,0.026170369523770397,0.7467229217794721,0.019346303450600753,0.13518946742059884,0.012932871477924199,0.5875939849624061,0.06173119360303928,0.21966805839106895,0.020629880111971373,0.13814483951523357,0.027489618547276783
LogisticRegression,lr,two-stage,low_plus_medium,0.5,0.6820309485220345,0.026669654143595404,0.933394290841661,0.008520574120498555,0.6998809523809524,0.02750287112850185,0.7997083093685861,0.019733213391785232,0.1456091253805453,0.02014651304835622,0.5048036758563075,0.059975960291305905,0.22581637821483566,0.02943380215024803,0.13043865035945387,0.017085737608579468
RandomForest,rf,single,low_plus_medium,0.5,0.8765965396030226,0.009251074153518656,0.9087707985332908,0.002146067204411202,0.9605952380952381,0.010066892402491624,0.9339432898368307,0.005276948176884236,0.0986343256942957,0.049679642330432074,0.0425438596491228,0.022094542761273407,0.05892574120110135,0.0302420848462733,0.13338725564552573,0.01818993856440514
XGBoost,xgboost,single,low_plus_medium,0.5,0.8821121612045437,0.006881285047141793,0.9085611547634697,0.0021678205008674105,0.9676190476190476,0.006845422949293416,0.9371515786647157,0.0038517210333104557,0.094403711256114,0.0591153727170044,0.03310359231411863,0.02115653208895902,0.04874288324449083,0.03084114688650961,0.14008807082438587,0.016141456971367717
XGBoost,xgboost,two-stage,low_plus_medium,0.5,0.8901143292148155,0.005403152276933068,0.908862187293069,0.0018490615265251403,0.9770238095238094,0.0059939027977019355,0.9417023775052358,0.003019537694651102,0.1013959243371008,0.07965568006387078,0.027130325814536338,0.023087445132515115,0.0424539234205352,0.035332221035052014,0.10172949866019095,0.011970070368703574
