model_key,mode,trial,feature_bundle,params_json,accuracy_mean,accuracy_std,open_precision_mean,open_precision_std,open_recall_mean,open_recall_std,open_f1_mean,open_f1_std,closed_precision_mean,closed_precision_std,closed_recall_mean,closed_recall_std,closed_f1_mean,closed_f1_std,pr_auc_closed_mean,pr_auc_closed_std
xgboost,single,1,low_plus_medium,"{""colsample_bytree"": 0.8789472116237456, ""learning_rate"": 0.037238657399959574, ""max_depth"": 9, ""min_child_weight"": 1.8475961309888458, ""n_estimators"": 199, ""reg_lambda"": 8.938089586343605, ""subsample"": 0.943439167964553}",0.8838383253699298,0.005743626370935599,0.9094697043037364,0.0015703952030838232,0.9685714285714285,0.008345229603962771,0.9380671549289167,0.0033463125853778527,0.11528393175451998,0.04387484800448138,0.042606516290726815,0.02141079301778408,0.06131873763531822,0.027888323341092695,0.13605645019953744,0.012880261622340862
xgboost,single,2,low_plus_medium,"{""colsample_bytree"": 0.7801543751582268, ""learning_rate"": 0.10536424018957688, ""max_depth"": 9, ""min_child_weight"": 4.337182218093231, ""n_estimators"": 554, ""reg_lambda"": 7.137234690401976, ""subsample"": 0.6512454530702183}",0.8809188785282789,0.0035798390174391036,0.9091951964496664,0.002301113342267698,0.9653571428571428,0.005125964319431169,0.9364232933639375,0.0020101346571172966,0.10554015240379488,0.0533153714519578,0.042606516290726815,0.026711871863774696,0.06025919030582588,0.03521586745165388,0.13409928093148293,0.01856190285780408
xgboost,single,3,low_plus_medium,"{""colsample_bytree"": 0.6908954887139107, ""learning_rate"": 0.11760818240416947, ""max_depth"": 8, ""min_child_weight"": 5.991263083142513, ""n_estimators"": 579, ""reg_lambda"": 0.13416354101688915, ""subsample"": 0.7773656795309325}",0.8822212633395777,0.004373200324239539,0.9093035322166976,0.001084769334271196,0.9667857142857142,0.0046014638309732426,0.9371596305291767,0.002486200194548731,0.11492071611253196,0.0212998223640904,0.04254385964912281,0.0086284360827579,0.06189871680335438,0.011782347380994143,0.14026365259936993,0.014914652808914481
xgboost,single,4,low_plus_medium,"{""colsample_bytree"": 0.7418103872519474, ""learning_rate"": 0.06634593676555103, ""max_depth"": 9, ""min_child_weight"": 9.736282219554129, ""n_estimators"": 622, ""reg_lambda"": 6.112828938332495, ""subsample"": 0.9032350960341495}",0.8874123850217852,0.003441630852030685,0.9097923514130896,0.0012350073012591379,0.9724999999999999,0.004315373561998046,0.9400959914682472,0.001978600346702134,0.13120300751879696,0.031844371276729004,0.04254385964912281,0.014212703108219834,0.06399877421549247,0.020172250334357742,0.13449719765965948,0.007657095011861348
xgboost,single,5,low_plus_medium,"{""colsample_bytree"": 0.6175215063148914, ""learning_rate"": 0.017915576890778523, ""max_depth"": 9, ""min_child_weight"": 2.3886054286079306, ""n_estimators"": 522, ""reg_lambda"": 2.3232604885522563, ""subsample"": 0.7866884014908136}",0.8815708602580564,0.003685970184157051,0.9084216466790238,0.001576383677038166,0.9671428571428571,0.0036770107646382014,0.9368594806763051,0.0020533953149330796,0.08729323308270677,0.05068519397477681,0.031892230576441104,0.017447821632890666,0.04664602064602065,0.02588123905205282,0.14778700022558058,0.007590123693482044
xgboost,single,6,low_plus_medium,"{""colsample_bytree"": 0.7481838824139475, ""learning_rate"": 0.18145092354033943, ""max_depth"": 8, ""min_child_weight"": 5.226002301482271, ""n_estimators"": 657, ""reg_lambda"": 0.2393000107750476, ""subsample"": 0.7303301432552608}",0.8818950093666464,0.005649733305935729,0.9092714946627991,0.0011771604109594453,0.9664285714285714,0.005911766199016711,0.9369722064903618,0.003182557249479039,0.11669815805109922,0.03371857017068513,0.04254385964912281,0.0086284360827579,0.062039534844412894,0.013310505809897892,0.14173884654295227,0.015115150930307391
xgboost,single,7,low_plus_medium,"{""colsample_bytree"": 0.867925597873004, ""learning_rate"": 0.04158209613172806, ""max_depth"": 4, ""min_child_weight"": 4.934367269850977, ""n_estimators"": 404, ""reg_lambda"": 4.627606177115527, ""subsample"": 0.6907637396203536}",0.8835162811256815,0.004878683646687208,0.9091647072417679,0.0017258807837651983,0.9685714285714285,0.007371345514482221,0.9379089917296148,0.002863603888784704,0.10013759889920881,0.05460206238491111,0.03903508771929824,0.023353030566889196,0.05583648852131,0.03236865588188389,0.13603488798478441,0.018221704692094443
xgboost,single,8,low_plus_medium,"{""colsample_bytree"": 0.9219057429987207, ""learning_rate"": 0.025491674834071394, ""max_depth"": 8, ""min_child_weight"": 4.487305411271571, ""n_estimators"": 496, ""reg_lambda"": 0.37727341902695966, ""subsample"": 0.9329039205580805}",0.8841672104232883,0.00296319066727276,0.9089440558110988,0.0017069295142598574,0.9696428571428571,0.0037457458863219563,0.9383074164711083,0.0016939290043401858,0.10075854452452919,0.04232275059720221,0.03546365914786967,0.0195639280753682,0.05222556525660392,0.0269256970827748,0.13075779500511736,0.016679881745758192
xgboost,single,9,low_plus_medium,"{""colsample_bytree"": 0.6029449079004022, ""learning_rate"": 0.015199250515591628, ""max_depth"": 8, ""min_child_weight"": 8.082319397519246, ""n_estimators"": 281, ""reg_lambda"": 2.136494175503608, ""subsample"": 0.6799632809900433}",0.8831952893136037,0.00872542412042511,0.9085639068420492,0.0025761442047564156,0.9689285714285714,0.00787335988751733,0.9377670733036941,0.004855639114878082,0.10317460317460317,0.05723097262641254,0.032017543859649125,0.01747255470088241,0.04868424305044023,0.026524623960214322,0.1303339893677064,0.013980830061573971
xgboost,single,10,low_plus_medium,"{""colsample_bytree"": 0.8274964783811575, ""learning_rate"": 0.1036935845793136, ""max_depth"": 8, ""min_child_weight"": 2.258172983148917, ""n_estimators"": 409, ""reg_lambda"": 0.16945724718950908, ""subsample"": 0.783566310215336}",0.883518385990023,0.005632466052478362,0.9083311072266296,0.0010279664350886645,0.9696428571428571,0.0066815310478105855,0.9379750108397754,0.003223369989404602,0.08162032085561496,0.05024452660626557,0.028258145363408517,0.017905334435580702,0.04168427339159046,0.02581389333807918,0.12970068476147387,0.011238705966298298
xgboost,single,11,low_plus_medium,"{""colsample_bytree"": 0.9059995429664103, ""learning_rate"": 0.04101193827198409, ""max_depth"": 8, ""min_child_weight"": 6.712464880005317, ""n_estimators"": 391, ""reg_lambda"": 1.2798492000028483, ""subsample"": 0.8260944425924756}",0.8805989391483721,0.011711031135414019,0.9085945010808727,0.0025312828667569845,0.9657142857142859,0.012545834335893086,0.9362504084543997,0.006601760408660586,0.10826340326340325,0.09139140776478155,0.03558897243107769,0.019563125386815965,0.05185132755945685,0.03061920097623535,0.12630287932326487,0.01680507483173998
xgboost,single,12,low_plus_medium,"{""colsample_bytree"": 0.774686955692945, ""learning_rate"": 0.024856970377777864, ""max_depth"": 7, ""min_child_weight"": 2.931262055375763, ""n_estimators"": 199, ""reg_lambda"": 0.6562318236263225, ""subsample"": 0.6123271338271757}",0.8825459386642531,0.007618597663839355,0.9074136686930945,0.0011517507345137998,0.9696428571428571,0.008144110179279528,0.9374837659226699,0.004302908558681044,0.05983782841199721,0.01737129939607243,0.017731829573934838,0.0001534768009262643,0.02699234450256089,0.0017479367338927043,0.1437477551502871,0.01831921041427298
xgboost,single,13,low_plus_medium,"{""colsample_bytree"": 0.7125535568087986, ""learning_rate"": 0.020154047986756612, ""max_depth"": 9, ""min_child_weight"": 3.6423438199001525, ""n_estimators"": 695, ""reg_lambda"": 2.1078176143715988, ""subsample"": 0.6233210966756264}",0.8815740175545687,0.010013540310716317,0.9084097776894613,0.00130451099601561,0.9671428571428571,0.010867945753359204,0.9368329666299516,0.005673914448497828,0.0941638795986622,0.03376537016815584,0.03182957393483709,0.013029870066901643,0.04668832016907244,0.01815557424038972,0.12931906607574736,0.013019485936917024
xgboost,single,14,low_plus_medium,"{""colsample_bytree"": 0.7625547445760282, ""learning_rate"": 0.10468274050942447, ""max_depth"": 7, ""min_child_weight"": 8.326183461994312, ""n_estimators"": 219, ""reg_lambda"": 0.21574753370052607, ""subsample"": 0.865725416130955}",0.8844924119640488,0.005131434517022394,0.9095259685095307,0.0024292411621757645,0.9692857142857143,0.005911766199016711,0.9384440246892141,0.0028850301344375594,0.11876094919573181,0.06057556824522586,0.04266917293233083,0.024142247154890707,0.06216869170088764,0.033827129664790234,0.13196834234222016,0.019078146209256484
xgboost,single,15,low_plus_medium,"{""colsample_bytree"": 0.7847508921005549, ""learning_rate"": 0.013096491575643687, ""max_depth"": 3, ""min_child_weight"": 2.451446011302416, ""n_estimators"": 333, ""reg_lambda"": 1.004822960369643, ""subsample"": 0.88894374023858}",0.8812440800690394,0.0060534653808451185,0.9083870719553191,0.001381736726676621,0.9667857142857142,0.006348710298082541,0.9366686204498095,0.0033875032424727836,0.0919462292093871,0.041352005093752295,0.0318922305764411,0.013299453346848667,0.04709371391227931,0.01976687389957499,0.14584094311332702,0.01671596302939649
xgboost,single,16,low_plus_medium,"{""colsample_bytree"": 0.752408490438593, ""learning_rate"": 0.08052554903182028, ""max_depth"": 4, ""min_child_weight"": 3.7136088023308886, ""n_estimators"": 665, ""reg_lambda"": 1.822070539633679, ""subsample"": 0.7784625102296123}",0.8812488160138079,0.005592290238711376,0.9078396027342628,0.002195978745689934,0.9675,0.004573660169594876,0.9367180840453286,0.0030982888440556407,0.07398692810457516,0.041074466455559844,0.024937343358395987,0.014317556738217135,0.03726884779516358,0.021202037990198246,0.1307206476045232,0.015573786090696831
xgboost,single,17,low_plus_medium,"{""colsample_bytree"": 0.9847590658198058, ""learning_rate"": 0.013002748849409112, ""max_depth"": 5, ""min_child_weight"": 9.177226216368464, ""n_estimators"": 483, ""reg_lambda"": 2.508500937206449, ""subsample"": 0.6472023608482061}",0.8822165273948095,0.006259461083136341,0.9093030055126663,0.0026432778477623086,0.9667857142857142,0.004738035414793411,0.9371609368949926,0.003382693937158237,0.1146248196248196,0.08370816296962434,0.04235588972431077,0.03241801594779468,0.06177497323066944,0.046717405198846686,0.13295860989478167,0.03490022725568856
xgboost,single,18,low_plus_medium,"{""colsample_bytree"": 0.8867560756635982, ""learning_rate"": 0.18235914109290055, ""max_depth"": 5, ""min_child_weight"": 5.044253519294098, ""n_estimators"": 401, ""reg_lambda"": 0.3503346743332184, ""subsample"": 0.9115003615863179}",0.8802700540950136,0.0066439975005393,0.9080224082256857,0.0018830196372194741,0.9660714285714287,0.006961995960577807,0.9361370091739893,0.0037008015504598575,0.08209523809523808,0.05172542193521883,0.028383458646616545,0.018200217561803744,0.041736941366296444,0.02599471405210109,0.12482198840722716,0.015263644865305672
xgboost,single,19,low_plus_medium,"{""colsample_bytree"": 0.6809453459180921, ""learning_rate"": 0.14938699526748894, ""max_depth"": 3, ""min_child_weight"": 3.7536096173558726, ""n_estimators"": 193, ""reg_lambda"": 1.440254158594933, ""subsample"": 0.7823105159334445}",0.8825406765033993,0.005358686567606407,0.9087887454009266,0.0014326512502813304,0.9678571428571429,0.0062881488791639096,0.9373826641637335,0.0030073262391861603,0.1004155844155844,0.05548859321574028,0.03540100250626567,0.01939321746935108,0.05191337961291013,0.028184927443026135,0.12272115584691592,0.01165241651508704
xgboost,single,20,low_plus_medium,"{""colsample_bytree"": 0.8877851823803746, ""learning_rate"": 0.13016100053415186, ""max_depth"": 4, ""min_child_weight"": 4.888837357975934, ""n_estimators"": 450, ""reg_lambda"": 1.7972880279365513, ""subsample"": 0.903407811934084}",0.881890273421878,0.009705640147707594,0.9076320091845963,0.0010537961729843912,0.9685714285714285,0.011769469323774333,0.9370769661817604,0.005540492271474817,0.06217771883289125,0.041395793833128025,0.021303258145363407,0.01323079221841961,0.03110604186968503,0.01912519773226813,0.1180697496592101,0.01453820644964864
xgboost,single,21,low_plus_medium,"{""colsample_bytree"": 0.7663229608682438, ""learning_rate"": 0.07005996583608028, ""max_depth"": 7, ""min_child_weight"": 1.3745275647570323, ""n_estimators"": 227, ""reg_lambda"": 0.9727060979234536, ""subsample"": 0.6337777284559556}",0.8825469910964238,0.007094905267580785,0.9090653374951463,0.000976435404621223,0.9675,0.009202927661946528,0.9373492968004389,0.004155374285851735,0.09880116959064328,0.0530906232255529,0.038847117794486206,0.023238773152525986,0.05510412837438265,0.03105502834919443,0.14598880622628913,0.005758218651985345
xgboost,single,22,low_plus_medium,"{""colsample_bytree"": 0.8350578288710848, ""learning_rate"": 0.015418080356546692, ""max_depth"": 5, ""min_child_weight"": 2.535336716831975, ""n_estimators"": 253, ""reg_lambda"": 7.083375039486971, ""subsample"": 0.6413611870890207}",0.8818971142309877,0.004339132850385552,0.9079075364194867,0.0018687897110042108,0.9682142857142857,0.004844521416518031,0.9370847271612085,0.0024650444777841746,0.06857142857142857,0.04644749309179636,0.024874686716791976,0.018138637823630694,0.036357919505930376,0.026027006928289718,0.13793663117528282,0.025098337133184417
xgboost,single,23,low_plus_medium,"{""colsample_bytree"": 0.6091215484118789, ""learning_rate"": 0.028267540318901316, ""max_depth"": 7, ""min_child_weight"": 9.627032919173008, ""n_estimators"": 694, ""reg_lambda"": 0.9217366875216192, ""subsample"": 0.8363661965925667}",0.8812493422298934,0.006929459372289995,0.9078374275741075,0.0012361519348167854,0.9674999999999999,0.007440238091428423,0.9367085049714536,0.003942996806612714,0.07125206177837756,0.03768336260173355,0.02474937343358396,0.014099832760937547,0.03637718802936194,0.020170665965699133,0.131222697341869,0.023777772841072842
xgboost,single,24,low_plus_medium,"{""colsample_bytree"": 0.7962827977418083, ""learning_rate"": 0.012812509825323044, ""max_depth"": 9, ""min_child_weight"": 9.440438094774846, ""n_estimators"": 406, ""reg_lambda"": 1.391413154070998, ""subsample"": 0.7946633323352641}",0.8815703340419709,0.005133099789350184,0.9092507493694904,0.0019857107367283215,0.9660714285714285,0.0062881488791639096,0.9367878704176622,0.0029161237783047033,0.10741858141858143,0.051058344938606004,0.04254385964912281,0.02399544871764353,0.06055099379788069,0.03277323840264383,0.13307234975115267,0.019775985642483094
xgboost,single,25,low_plus_medium,"{""colsample_bytree"": 0.8082689609886151, ""learning_rate"": 0.02225068296443401, ""max_depth"": 6, ""min_child_weight"": 4.95020314274542, ""n_estimators"": 448, ""reg_lambda"": 0.11046486337776684, ""subsample"": 0.7326275989370209}",0.879944852554253,0.004891552738221018,0.9090970478904538,0.001335422405707472,0.9642857142857142,0.006487822187351745,0.9358652298289909,0.0028029069875661365,0.10512641406569442,0.040580122793875795,0.04254385964912281,0.017907526862879025,0.06023325620547133,0.02466329430931076,0.13916096351553536,0.010081780790566725
xgboost,single,26,low_plus_medium,"{""colsample_bytree"": 0.8216144574156198, ""learning_rate"": 0.14653185417854822, ""max_depth"": 9, ""min_child_weight"": 1.977181670218992, ""n_estimators"": 350, ""reg_lambda"": 2.2104474062314474, ""subsample"": 0.6560996355994443}",0.8799453787703383,0.006932153811938143,0.9079931295837318,0.0017473452136834934,0.9657142857142856,0.007775550377527559,0.9359497120960846,0.003910533947616695,0.07892057632769707,0.04135545526180829,0.028446115288220553,0.014380211139675789,0.041519003801663346,0.021148766702241018,0.13097336309863908,0.014521689972733964
xgboost,single,27,low_plus_medium,"{""colsample_bytree"": 0.9074589967670628, ""learning_rate"": 0.07209889813019661, ""max_depth"": 5, ""min_child_weight"": 1.969668513603069, ""n_estimators"": 215, ""reg_lambda"": 6.7924068342147255, ""subsample"": 0.890797845714753}",0.8802695278789281,0.006164758865685367,0.9085672627259452,0.0010824464437858548,0.9653571428571428,0.006348710298082542,0.936094017745509,0.003451530144829924,0.09781144781144782,0.036459531867230534,0.03540100250626567,0.010999765588284931,0.051853085405399915,0.017047873909817497,0.14003021323284587,0.028976858989933022
