model_key,mode,trial,feature_bundle,params_json,objective_score,accuracy_mean,accuracy_std,open_precision_mean,open_precision_std,open_recall_mean,open_recall_std,open_f1_mean,open_f1_std,closed_precision_mean,closed_precision_std,closed_recall_mean,closed_recall_std,closed_f1_mean,closed_f1_std,pr_auc_closed_mean,pr_auc_closed_std
lr,single,1,low_plus_medium,"{""C"": 0.038626439732577435, ""class_weight"": ""balanced"", ""max_iter"": 1500, ""solver"": ""lbfgs""}",-0.27199563041436814,0.6583357890083983,0.022508034328313463,0.9338453672866798,0.008548094345955428,0.6714285714285715,0.021724151893922187,0.7810393257138282,0.016664111007240624,0.13993425092664427,0.018523291876044193,0.5283834586466165,0.057364747487524494,0.2211570217134773,0.02773739339295578,0.2034014253874726,0.040929867136445204
lr,single,2,low_plus_medium,"{""C"": 0.04056118171808356, ""class_weight"": ""balanced"", ""max_iter"": 1000, ""solver"": ""lbfgs""}",-0.2706605586114912,0.6622376812814414,0.02295860457815161,0.933259321522937,0.005279933254641107,0.6767857142857143,0.030660251473335367,0.7841162955240232,0.019236623458491166,0.13871452232498416,0.006973162427200122,0.5174185463659149,0.060957731780203965,0.21845102223291762,0.012657982011474864,0.19626750780247848,0.04813934124462875
lr,single,3,low_plus_medium,"{""C"": 0.04773876586497635, ""class_weight"": {""0"": 4.0, ""1"": 1.0}, ""max_iter"": 1000, ""solver"": ""lbfgs""}",0.18044431337783615,0.8163311162095603,0.02917663591129961,0.9243460851755486,0.005224979594392307,0.8689285714285715,0.032055436674738376,0.8955062356820516,0.018143363254250058,0.191852816801169,0.05326631869731899,0.29411027568922304,0.05218640046111614,0.22963116951805934,0.04961732487449298,0.18518869437733604,0.03869866840110683
lr,single,4,low_plus_medium,"{""C"": 0.048720166673508744, ""class_weight"": ""balanced"", ""max_iter"": 1500, ""solver"": ""lbfgs""}",-0.24034035828762407,0.6612789155738913,0.030340939144949744,0.9377491983091122,0.012381501779837234,0.6717857142857143,0.03277941115881078,0.7823472222181806,0.02341029906335023,0.14636221177044592,0.022884309984316464,0.556766917293233,0.09119617684538302,0.23150656199954467,0.03553938297297337,0.19689719138933862,0.03559552550291054
lr,single,5,low_plus_medium,"{""C"": 0.09686107628253078, ""class_weight"": {""0"": 5.5, ""1"": 1.0}, ""max_iter"": 2000, ""solver"": ""lbfgs""}",-0.05334224761507324,0.7586025805636828,0.021563222276052126,0.9247591428289444,0.002606659637952481,0.7992857142857144,0.024369603013188548,0.857278126314126,0.014484045335307715,0.1525083764923544,0.015160078250264488,0.35463659147869675,0.019800886661801628,0.21270460386849033,0.0146955176704334,0.15477046158184787,0.026950937091868226
lr,single,6,low_plus_medium,"{""C"": 0.06496710048720633, ""class_weight"": {""0"": 5.0, ""1"": 1.0}, ""max_iter"": 2000, ""solver"": ""lbfgs""}",-0.012220272396871401,0.7722205266370582,0.017723912324392216,0.9248542519935089,0.009295680799545188,0.8157142857142856,0.021647689229559616,0.8666599191104549,0.01160354051517901,0.1562758776160838,0.02985854476454334,0.34078947368421053,0.0896455178318682,0.2133819567586764,0.0433950368220581,0.19267023530126254,0.03830532886665589
lr,single,7,low_plus_medium,"{""C"": 0.06580519380312647, ""class_weight"": ""balanced"", ""max_iter"": 1500, ""solver"": ""lbfgs""}",-0.28738737133165904,0.6541213243806437,0.009119163279893245,0.933990989750369,0.0038603901295521767,0.6664285714285714,0.01234082324512214,0.7777590033447146,0.007733284615698229,0.1382567709936044,0.006707325367181732,0.531704260651629,0.03712288366736654,0.21940141738788865,0.011289555869692288,0.19326635035153789,0.03437170071567908
lr,single,8,low_plus_medium,"{""C"": 0.0420649306729782, ""class_weight"": ""balanced"", ""max_iter"": 1000, ""solver"": ""lbfgs""}",-0.252644233918583,0.6570528741922583,0.02846655927504064,0.9371710916806,0.004252407434442423,0.6671428571428571,0.03159452936370925,0.7790459566331556,0.022974400049669632,0.14493600186184466,0.010646064522823151,0.5568295739348371,0.023084189797220624,0.2297982107243539,0.01425597064330684,0.2111180231793474,0.02220966477934372
lr,single,9,low_plus_medium,"{""C"": 0.08857219350716271, ""class_weight"": {""0"": 3.0, ""1"": 1.0}, ""max_iter"": 1000, ""solver"": ""lbfgs""}",0.053610151075996176,0.8153670883411565,0.028722099617137477,0.9189604701622549,0.00425188696659401,0.8739285714285714,0.03592083131622903,0.8954735689707141,0.01823662485830291,0.16000087040891298,0.021848062177435686,0.23439849624060152,0.05757541946287356,0.18637823446210167,0.0316152547183695,0.1649556390929912,0.02429643242268635
lr,single,10,low_plus_medium,"{""C"": 0.10616759197646607, ""class_weight"": ""balanced"", ""max_iter"": 1500, ""solver"": ""lbfgs""}",-0.3509890758151306,0.6320549790565998,0.034750655473893645,0.9348642264805294,0.01128895415982511,0.64,0.04549332761123169,0.758722809573239,0.02971593789432145,0.13344518633817942,0.013842569002686848,0.5529448621553884,0.10377706646762618,0.2144189536980236,0.024938307556071328,0.16869046528197623,0.0347447553647497
