model_key,mode,feature_bundle,selected_trial,params_json,selection_rationale,accuracy_mean,closed_precision_mean,closed_recall_mean,closed_f1_mean,pr_auc_closed_mean
lr,single,low_plus_medium,17,"{""C"": 3.710797642120777, ""class_weight"": ""balanced"", ""max_iter"": 3000, ""solver"": ""lbfgs""}",No trial passed gates; fallback to max closed-F1.,0.6894767307247048,0.15816576914959918,0.5529448621553885,0.24587337713830296,0.1363682751319788
lr,two-stage,low_plus_medium,26,"{""C"": 0.02452116064720186, ""class_weight"": ""balanced"", ""max_iter"": 1000, ""solver"": ""lbfgs""}",No trial passed gates; fallback to max closed-F1.,0.7498595003052053,0.16762506051639808,0.4322681704260652,0.24058668265646074,0.1905244088058698
