model_key,mode,trial,feature_bundle,params_json,objective_score,accuracy_mean,accuracy_std,open_precision_mean,open_precision_std,open_recall_mean,open_recall_std,open_f1_mean,open_f1_std,closed_precision_mean,closed_precision_std,closed_recall_mean,closed_recall_std,closed_f1_mean,closed_f1_std,pr_auc_closed_mean,pr_auc_closed_std
lr,single,1,low_plus_medium,"{""C"": 0.025311613580744272, ""class_weight"": null, ""max_iter"": 2000, ""solver"": ""lbfgs""}",-0.48049227717255244,0.9085015470752908,0.0007218181060212776,0.9085015470752908,0.0007218181060212776,1.0,0.0,0.9520572885058867,0.0003964056710414503,0.0,0.0,0.0,0.0,0.0,0.0,0.1950772282744754,0.044874098676299386
lr,single,2,low_plus_medium,"{""C"": 0.016554829223919838, ""class_weight"": null, ""max_iter"": 3000, ""solver"": ""lbfgs""}",-0.481298572329204,0.9085015470752908,0.0007218181060212776,0.9085015470752908,0.0007218181060212776,1.0,0.0,0.9520572885058867,0.0003964056710414503,0.0,0.0,0.0,0.0,0.0,0.0,0.18701427670796048,0.05360967243109321
lr,single,3,low_plus_medium,"{""C"": 0.1008501809762511, ""class_weight"": null, ""max_iter"": 3000, ""solver"": ""lbfgs""}",0.04070461193008543,0.90590624934223,0.004079179305076167,0.9093321096815565,0.000812749144184501,0.9957142857142858,0.005714285714285694,0.9505550152082447,0.002322196425210491,0.2545454545454545,0.387405013684773,0.014035087719298244,0.020459480332790526,0.024543610547667342,0.03453283561059703,0.1616100138241809,0.03711050089932596
lr,single,4,low_plus_medium,"{""C"": 0.3111284267842031, ""class_weight"": {""0"": 5.5, ""1"": 1.0}, ""max_iter"": 2000, ""solver"": ""lbfgs""}",-0.09635824421808156,0.7339356753457239,0.006933415153380259,0.9290606814896794,0.007869036850575361,0.7657142857142858,0.009202927661946535,0.8394476093565174,0.004643856863934052,0.15165587305912942,0.020387025651886326,0.4182957393483709,0.0737288984397249,0.22247378003056512,0.032197568061711035,0.14156942412081922,0.01660455077669143
lr,single,5,low_plus_medium,"{""C"": 0.020301192234346014, ""class_weight"": null, ""max_iter"": 1500, ""solver"": ""lbfgs""}",-0.48201769632152386,0.9085015470752908,0.0007218181060212776,0.9085015470752908,0.0007218181060212776,1.0,0.0,0.9520572885058867,0.0003964056710414503,0.0,0.0,0.0,0.0,0.0,0.0,0.17982303678476153,0.04203156849418895
lr,single,6,low_plus_medium,"{""C"": 0.01382493849113033, ""class_weight"": {""0"": 3.0, ""1"": 1.0}, ""max_iter"": 2000, ""solver"": ""lbfgs""}",0.18139648183865303,0.8367940811214718,0.054358579878495336,0.9155468316236984,0.0035132583841167905,0.9035714285714285,0.06343685595832715,0.9084731289248011,0.03290977358353001,0.2261124116488006,0.13617180355981606,0.17387218045112782,0.04671765921511568,0.1691317266684103,0.04417016892566632,0.18676592927299054,0.05041577572816476
lr,single,7,low_plus_medium,"{""C"": 0.25520993043148615, ""class_weight"": {""0"": 2.0, ""1"": 1.0}, ""max_iter"": 1000, ""solver"": ""lbfgs""}",-0.06967356581872189,0.7929876444463154,0.024928292025006175,0.9160091766920024,0.004852729605773029,0.85,0.026024909574623837,0.8816103462929711,0.01563621483806299,0.13608091787439616,0.0372786492297418,0.22681704260651628,0.03881527112431805,0.16908661473410883,0.03774025135967995,0.15062235868547985,0.026414252611944487
lr,single,8,low_plus_medium,"{""C"": 0.14523799531796475, ""class_weight"": ""balanced"", ""max_iter"": 3000, ""solver"": ""lbfgs""}",-0.2851871803423277,0.6499137005619988,0.03808821975387216,0.9355544020362878,0.004470365512302731,0.6599999999999999,0.043162601915102725,0.7732187960583612,0.03134973310326778,0.14119874550739553,0.013724531756396985,0.5494360902255638,0.03366498847353225,0.22427711675457546,0.018319017559190263,0.17711438010610306,0.024609663592027806
lr,single,9,low_plus_medium,"{""C"": 0.22591539740132618, ""class_weight"": {""0"": 6.0, ""1"": 1.0}, ""max_iter"": 3000, ""solver"": ""lbfgs""}",-0.08744250220271328,0.7401029278662989,0.018729623371318678,0.9273045681452367,0.0023680304679818583,0.7746428571428572,0.021499881347560583,0.8439737947837285,0.013107725081143294,0.15143536543494598,0.011899367728599501,0.3970551378446115,0.02452797454011661,0.21892769841861046,0.01401070341087119,0.14835530058713392,0.023116895006416217
lr,single,10,low_plus_medium,"{""C"": 0.11712182783108922, ""class_weight"": null, ""max_iter"": 1500, ""solver"": ""lbfgs""}",-0.48215635016308783,0.9081768717506156,0.0007483147976941508,0.9084719831432879,0.0006997640783666542,0.9996428571428572,0.0007142857142857118,0.9518789703701216,0.0004109703256589378,0.0,0.0,0.0,0.0,0.0,0.0,0.1784364983691219,0.029544572611766698
