model_key,mode,gate_type,feature_bundle,selected_trial,params_json,selection_rationale,search_accuracy_mean,search_closed_precision_mean,search_closed_recall_mean,search_closed_f1_mean,search_pr_auc_closed_mean
lr,single,production,low_plus_medium,13,"{""C"": 0.04455809561250374, ""class_weight"": {""0"": 2.5, ""1"": 1.0}, ""max_iter"": 1000, ""solver"": ""lbfgs""}",No production gate-pass candidate; fallback to precision/F1 best-effort.,0.8971494874655329,0.36616246498599436,0.11347117794486214,0.16886623402406606,0.19550905030028237
lr,single,diagnostic,low_plus_medium,22,"{""C"": 0.03540803711219167, ""class_weight"": {""0"": 4.0, ""1"": 1.0}, ""max_iter"": 1500, ""solver"": ""lbfgs""}",Diagnostic gate-pass candidate selected (closed-F1 first).,0.8591793133932519,0.2544538293950059,0.2658521303258145,0.2589894183980845,0.21187445037352776
lr,two-stage,production,low_plus_medium,14,"{""C"": 0.015168879739165763, ""class_weight"": {""0"": 2.0, ""1"": 1.0}, ""max_iter"": 2000, ""solver"": ""lbfgs""}",No production gate-pass candidate; fallback to precision/F1 best-effort.,0.9020159338230652,0.38416666666666666,0.04974937343358397,0.08470903253844751,0.16729908028467594
lr,two-stage,diagnostic,low_plus_medium,37,"{""C"": 0.028662931704352062, ""class_weight"": {""0"": 5.0, ""1"": 1.0}, ""max_iter"": 1000, ""solver"": ""lbfgs""}",Diagnostic gate-pass candidate selected (closed-F1 first).,0.8410095981813971,0.2224063870304443,0.2975563909774436,0.25349872478381635,0.19040333068047458
rf,single,production,low_plus_medium,27,"{""class_weight"": {""0"": 4.5, ""1"": 1.0}, ""max_depth"": 8, ""max_features"": ""log2"", ""min_samples_leaf"": 5, ""min_samples_split"": 8, ""n_estimators"": 425}",No production gate-pass candidate; fallback to precision/F1 best-effort.,0.8971463301690206,0.2728894634776987,0.07788220551378446,0.12058458194404306,0.18567114463084655
rf,single,diagnostic,low_plus_medium,35,"{""class_weight"": ""balanced"", ""max_depth"": 16, ""max_features"": ""log2"", ""min_samples_leaf"": 6, ""min_samples_split"": 12, ""n_estimators"": 450}",Diagnostic gate-pass candidate selected (closed-F1 first).,0.8653476183459976,0.25251894032891337,0.2413533834586466,0.2459818968909878,0.18491315417281506
