model_key,mode,gate_type,feature_bundle,selected_trial,params_json,accuracy_mean,accuracy_std,open_precision_mean,open_precision_std,open_recall_mean,open_recall_std,open_f1_mean,open_f1_std,closed_precision_mean,closed_precision_std,closed_recall_mean,closed_recall_std,closed_f1_mean,closed_f1_std,pr_auc_closed_mean,pr_auc_closed_std
lr,single,production,low_plus_medium,13,"{""C"": 0.04455809561250374, ""class_weight"": {""0"": 2.5, ""1"": 1.0}, ""max_iter"": 1000, ""solver"": ""lbfgs""}",0.8941151501119088,0.010925974538221535,0.9154911127411403,0.0028870595473358654,0.9733333333333334,0.014440628311529464,0.9434620814886604,0.006320012737263642,0.30910372203857045,0.08016011838642526,0.10766499582289055,0.03789003223711098,0.15390651712957013,0.04159428472418962,0.18681781913983075,0.026915613679757956
lr,single,diagnostic,low_plus_medium,22,"{""C"": 0.03540803711219167, ""class_weight"": {""0"": 4.0, ""1"": 1.0}, ""max_iter"": 1500, ""solver"": ""lbfgs""}",0.8522516786293123,0.021718498542229916,0.9229113468785541,0.0027918505928760944,0.9136904761904763,0.025099010288461926,0.9181083976190846,0.013223929717499226,0.2290993202927398,0.04741026373591411,0.24235588972431074,0.031019108953638887,0.2326103044038596,0.03178068960075669,0.1943956991179404,0.02626193763806515
lr,two-stage,production,low_plus_medium,14,"{""C"": 0.015168879739165763, ""class_weight"": {""0"": 2.0, ""1"": 1.0}, ""max_iter"": 2000, ""solver"": ""lbfgs""}",0.8981203561430465,0.014626045691625006,0.9096147917972207,0.0018454947157176707,0.9858333333333333,0.018505683382688622,0.946100545765867,0.008392398540588982,0.2108054226475279,0.2560542999916719,0.027213868003341683,0.030373689802362755,0.04081796365364612,0.039524316673119175,0.16930417842023934,0.032943496839652746
lr,two-stage,diagnostic,low_plus_medium,37,"{""C"": 0.028662931704352062, ""class_weight"": {""0"": 5.0, ""1"": 1.0}, ""max_iter"": 1000, ""solver"": ""lbfgs""}",0.839924189802634,0.025917259925230692,0.9259788308656911,0.004888189178890222,0.895357142857143,0.028814442712701165,0.9101887972673792,0.016095951047960123,0.22483060247153108,0.04777898749406598,0.289640768588137,0.048235965936673016,0.2507207675116461,0.04480400051762845,0.19116997133233607,0.024708987979943312
rf,single,production,low_plus_medium,27,"{""class_weight"": {""0"": 4.5, ""1"": 1.0}, ""max_depth"": 8, ""max_features"": ""log2"", ""min_samples_leaf"": 5, ""min_samples_split"": 8, ""n_estimators"": 425}",0.8985502746847963,0.003842572540756578,0.9130056071954232,0.002439396070482316,0.9819047619047621,0.004604542763289006,0.9461937718898064,0.0021129278022395093,0.2742877492877493,0.0959107618975084,0.07082289055973266,0.03216336295059495,0.11149971651833747,0.04739322231110198,0.19629725297845482,0.02760497527375895
rf,single,diagnostic,low_plus_medium,35,"{""class_weight"": ""balanced"", ""max_depth"": 16, ""max_features"": ""log2"", ""min_samples_leaf"": 6, ""min_samples_split"": 12, ""n_estimators"": 450}",0.8616695433146001,0.01819783320592211,0.9217165042466351,0.004024659656605388,0.9264285714285714,0.020786000652584704,0.9239505563308659,0.01085683807952605,0.23769074566624207,0.049706311392951424,0.21879699248120307,0.041747664690538665,0.2250881643153361,0.0378535074783474,0.179451762963836,0.022466019415181823
