model_key,mode,gate_type,feature_bundle,selected_trial,params_json,category_top_k,dataset_top_k,cluster_top_k,threshold,confirm_n_splits,confirm_n_repeats,confirm_random_state,accuracy_mean,accuracy_std,open_precision_mean,open_precision_std,open_recall_mean,open_recall_std,open_f1_mean,open_f1_std,closed_precision_mean,closed_precision_std,closed_recall_mean,closed_recall_std,closed_f1_mean,closed_f1_std,pr_auc_closed_mean,pr_auc_closed_std
lr,single,production,low_plus_medium,14,"{""C"": 0.018702742958488373, ""class_weight"": {""0"": 3.5, ""1"": 1.0}, ""max_iter"": 1000, ""solver"": ""lbfgs""}",45,5,35,0.41,5,10,142,0.9027588456923951,0.005700684037294125,0.9114214378708537,0.0025325039461137444,0.9891071428571427,0.007091332018451719,0.9486599682441116,0.003181914277256018,0.32818568033273915,0.2362920057489446,0.04541979949874686,0.03043858681801097,0.0762705906635637,0.04790521363826648,0.19503668658821938,0.0328142353934634
lr,single,diagnostic,low_plus_medium,38,"{""C"": 0.031066049133505004, ""class_weight"": {""0"": 4.5, ""1"": 1.0}, ""max_iter"": 2000, ""solver"": ""lbfgs""}",25,5,60,0.5,5,10,142,0.8414046812182956,0.022585006252360373,0.9242345868009997,0.004551417232732072,0.8991071428571428,0.024759686828325085,0.9113416347632627,0.013813797935439033,0.21791879816669815,0.04724373429103957,0.26849624060150373,0.04226384201069979,0.23830206760499975,0.039307442967264426,0.1984065297680631,0.03236464206848729
lr,two-stage,production,low_plus_medium,16,"{""C"": 0.03230600504184561, ""class_weight"": {""0"": 3.5, ""1"": 1.0}, ""max_iter"": 1000, ""solver"": ""lbfgs""}",55,5,10,0.33,5,10,142,0.9088912100865099,0.002529264018924301,0.9103527722769356,0.002106422447432272,0.9980000000000001,0.0023046094007002317,0.9521604358142932,0.0013374957275862245,0.45005555555555554,0.38478248224415745,0.024154135338345862,0.022741534273426126,0.04504587578469832,0.04126880469550583,0.21236163883302225,0.037805070834267616
lr,two-stage,diagnostic,low_plus_medium,19,"{""C"": 0.018049168526244785, ""class_weight"": {""0"": 5.0, ""1"": 1.0}, ""max_iter"": 1000, ""solver"": ""lbfgs""}",50,5,45,0.51,5,10,142,0.8600921930581574,0.013526973892887312,0.9251056306399477,0.004386479075600171,0.9205357142857141,0.014657005359978865,0.922756360727306,0.007991777410439254,0.2511043358379915,0.04614657830878247,0.25997493734335836,0.04520737958480693,0.2539280812513152,0.04034433499986224,0.2048778661695162,0.03422533775981868
